id,eigenvector_centrality,eigenvector_centrality_weighted,pagerank,degree_centrality,core_number,closeness_centrality,clustering_coefficient,vertex_betweenes
Gad1-F-500159,0.00016154254723415657,3.6169766218929683e-07,1.2024295647419424e-05,0.006733329983417919,100,0.3351126528137945,0.0002554979630798415,7.974026721022393e-06
Gad1-F-300794,0.00021765384100751428,3.9889656049908745e-07,1.4654195560364717e-05,0.0032159187980503492,62,0.3419415807560137,0.0002705712842872059,2.822475540554704e-06
Cha-F-400033,3.7159846745538704e-05,2.7993206038334717e-08,7.664292801298823e-06,0.001004974624390734,20,0.2880612569840489,0.00041965982661412834,1.3797394956991587e-08
Cha-F-000369,0.0001252034159879462,9.009356315940571e-08,1.3831127005335946e-05,0.0034671624541480327,68,0.3451619057529875,0.0005314994446465988,4.7915590712520764e-06
Cha-F-400067,3.678548196845074e-05,2.3576896511225802e-08,1.117271663407315e-05,0.0019597005175619317,38,0.31118164902350165,0.0002160374211404372,3.215192189496644e-06
Gad1-F-800561,0.0002065948423275091,1.780329012349126e-07,2.8002861925177513e-05,0.0038691523039043265,69,0.3511238928684851,0.00025540178972753265,7.920585758321395e-06
VGlut-F-400685,2.2756899936003783e-05,1.2805820232417631e-08,1.317233919834411e-05,0.0038189035726847896,68,0.3122656164190112,0.0005078806316258932,5.572096099341235e-06
Gad1-F-400912,0.0001263152729313007,8.615759718038824e-08,1.2259271987857427e-05,0.0030149238731722026,59,0.3460140832826219,0.00040353797594731573,6.918807014110514e-06
Gad1-F-900598,0.00030315807420531945,4.6928694899031935e-07,0.00011742807714685885,0.007637807145369579,113,0.35634221458243803,0.00021333324825638367,1.2352611829157177e-05
VGlut-F-000306,4.352081722295616e-06,3.8173271203201785e-09,9.783602186181868e-06,0.00035174111853675694,7,0.2898527505498187,0.00044307163107689404,6.228147758867052e-08
Gad1-F-000617,0.0002842309951352868,1.1885084729609845e-06,0.00013882063735970847,0.006833827445856992,77,0.33865396069088743,0.0009008340479501722,1.677929475885176e-05
VGlut-F-700592,1.280920758081753e-06,3.464186907403796e-10,7.5595936077753534e-06,0.00010049746243907341,2,0.2695626261394883,0.0,1.9059167307008824e-10
Gad1-F-300730,1.592195456348033e-05,1.596854446312451e-09,8.500978807103538e-06,0.0003014923873172202,6,0.30023836823366123,0.0007087751265475531,3.1552787280219015e-07
Gad1-F-900627,0.000435408804840969,5.105661606687554e-07,3.73982457728088e-05,0.009999497512687805,138,0.3688649169632266,0.000268301387358928,2.7141961042796403e-05
Cha-F-300058,0.00013929705658788187,1.409540310365213e-07,1.1823374081499543e-05,0.002110446711220542,42,0.3427956248385152,0.0002443163688753568,6.579138901925242e-07
Gad1-F-300846,1.4484877016057511e-06,2.386140965707995e-10,7.829487734410989e-06,0.0001507461936586101,3,0.27044914044981994,0.00032051282051282057,1.7506096437950642e-08
fru-F-300196,0.00025206715711866907,9.701965402314687e-07,3.916604322029396e-05,0.010702979749761319,109,0.36283250378311366,0.0015908070095175422,1.0778774268449428e-05
Gad1-F-800031,0.00017023018873947137,1.8856550931251555e-07,1.1900653602635493e-05,0.002713431485854982,54,0.3483092971156539,0.0002490454593458002,1.8750508158282257e-06
VGlut-F-700483,0.00030742138670127966,4.2960026359586823e-07,2.6446187424369333e-05,0.01221044168634742,150,0.3562337778573346,0.00024339473136413017,1.9432813299277025e-05
VGlut-F-300071,0.00030631832956930927,2.25454144995448e-07,2.0226188737639482e-05,0.0059293502839053314,89,0.3533620980486159,0.00035534080206242906,2.2767043058804044e-05
Cha-F-000309,9.300727644027197e-05,1.0414353714214361e-07,1.1840233485141101e-05,0.0028641776795135924,57,0.34042662378761185,0.0004039681643307819,2.9883276687777976e-06
Cha-F-100400,0.00032411922182757675,4.2917693905397664e-07,3.754666523021033e-05,0.0051756193156122805,77,0.3641603688997054,0.0002313007840498931,3.6405148587345847e-06
Cha-F-200208,0.00020892104620408422,9.99462092425107e-08,1.602801143370333e-05,0.0035174111853675696,64,0.34771289792780513,0.0008210169172094002,5.254647587726674e-06
Cha-F-700137,0.00014324587827861516,1.8707119500279485e-07,3.256187869202046e-05,0.006230842671222552,108,0.3420826457645765,0.00035976578457243735,4.7490730779791706e-06
VGlut-F-100209,1.5296575675832274e-05,5.1811579199769117e-08,1.1177111456255946e-05,0.001055223355610271,21,0.29939372056987257,0.0007078787317797092,2.234998240772432e-07
VGlut-F-800126,0.00045808266031874766,5.159618286584356e-07,3.1460147983250105e-05,0.008341289382443093,99,0.374275934702475,0.0002274879670211386,3.4234618997820575e-05
Gad1-F-000776,4.737020626679034e-05,6.297261615591821e-08,9.413300997989555e-06,0.0011557208180493442,23,0.34231801293518643,0.000972272221595318,1.0314036156477895e-06
Cha-F-100191,0.00011511571689691543,2.7077118966266946e-08,2.1806720979912583e-05,0.0019094517863423948,36,0.34951439259558476,0.000525301892138965,7.552814078745794e-06
Gad1-F-600480,0.0001242757573499823,1.6929483353770564e-08,1.4172353746798285e-05,0.0061805939400030145,85,0.3425301204819277,0.0005704405360179336,1.1241009647240155e-05
Cha-F-000289,7.84312413090949e-05,1.254650740741269e-08,8.571962951858151e-06,0.0019094517863423948,38,0.33558167377704334,0.0006400271323655953,2.028341135641472e-06
Gad1-F-000789,0.00018824196562405152,2.561077034852943e-07,1.365776828411712e-05,0.007336314758052359,122,0.34287240274284136,0.00029759731745199614,5.025174161948217e-06
Cha-F-100276,9.116150053915846e-05,7.88889578621605e-08,1.6155980499224134e-05,0.00427114215366062,73,0.33720792314078996,0.00029489687599939184,3.703033398245997e-05
VGlut-F-600357,0.00015166291643065562,3.002608700343559e-07,1.3760700176638777e-05,0.0023616903673182254,44,0.35280456672812366,0.0014457304439228714,2.927487408980476e-07
E0585-F-600003,0.00031238959483782813,9.294752420416811e-07,0.00021959229219351337,0.010702979749761319,108,0.3661233350504084,0.0013529312903947759,1.4614224911422213e-06
VGlut-F-200587,0.00046639633641604926,1.1358277629976226e-06,1.2163713379764605e-05,0.007336314758052359,118,0.3672855455485014,0.00023806815917469488,1.2186216468938908e-05
Cha-F-600262,0.00046190514058934684,9.738439186182787e-07,0.00011382381665429078,0.009647756394151047,138,0.37244076805030507,0.0003850111584814637,1.8272729324387772e-05
fru-F-500391,0.00024173462186511977,4.393894800320662e-07,2.5743693916444292e-05,0.0036681573790261794,71,0.3548490629959168,0.00029653971719963043,8.06977433335191e-06
VGlut-F-400447,0.00033028134517888155,1.1623144644783853e-07,2.2358642802861414e-05,0.004170644691221546,71,0.36531683677215654,0.0002587400588174762,4.178037375059471e-06
TH-F-400003,2.6149116518045866e-06,5.833797587391027e-10,4.051306349834556e-05,0.0023114416360986885,44,0.2784252276956224,0.0020190487304065797,2.662183418964785e-05
Cha-F-300225,8.043539042358887e-05,3.502115869731014e-08,2.472699004766367e-05,0.01020049243756595,141,0.32954131478721643,0.0005027214260819558,5.735998505485269e-06
Gad1-F-400566,0.00017805874823933088,1.0858141595229669e-07,2.3230744125417758e-05,0.002411939098537762,45,0.36312380257275795,0.00032382596230975876,5.2942310599934834e-06
VGlut-F-000459,0.0002089737326437468,6.828225479750227e-07,2.535856777195456e-05,0.0056781066278076475,94,0.3601990950226244,0.001905497955981788,3.2505989812500736e-06
VGlut-F-400355,3.4666546745773274e-06,2.5571909336444775e-10,8.94756381713709e-06,0.000502487312195367,10,0.27953983593662207,0.00021500314349317325,8.98107325312605e-08
VGlut-F-200362,0.00012536345932016263,6.069390590320207e-08,1.2838283839652482e-05,0.0026631827546354453,52,0.34464186755333887,0.0003195041511797506,2.8144824599028832e-06
VGlut-F-800231,1.628608879740211e-06,1.8399113233586057e-10,2.7253488080585657e-05,0.00040198984975629365,7,0.2746442914119319,0.00040830448758121104,3.783344655556268e-08
VGlut-F-500360,0.0001821122766437475,3.3162826545296174e-07,2.297589724993856e-05,0.007637807145369579,108,0.3530298729865891,0.0013249321716615966,5.586683780256786e-06
Gad1-F-600647,0.00011662036744909772,1.4235316981701061e-07,1.665947977803883e-05,0.002210944173659615,42,0.3418887113676579,0.0003550262739692589,3.0109272664517983e-06
