Source,Target,Type,Id,Weight,Acumulative,Selected
5,1,Directed,156,20.63,112109.72,T
10,2,Directed,205,7.42,40825.34,T
6,9,Directed,173,6.59,38683.8,T
6,2,Directed,167,7.22,38012.94,T
1,5,Directed,119,8.01,35297.44,T
1,8,Directed,122,7.68,33817.92,T
2,6,Directed,130,5.78,30503.06,T
1,6,Directed,120,6.39,30387.33,T
5,6,Directed,160,10.92,29724.48,T
2,4,Directed,128,6.44,26508.68,T
0,2,Directed,106,6.34,26198.18,T
2,1,Directed,126,5.87,25756.99,T
0,1,Directed,105,5.65,25514.65,T
1,2,Directed,116,5.74,25300.66,T
2,0,Directed,125,6.01,24852.47,T
9,2,Directed,195,6.01,24852.47,T
1,0,Directed,115,5.41,23768.79,T
3,9,Directed,143,6.22,22812.5,T
2,8,Directed,132,5.4,22356.48,T
6,4,Directed,169,11.44,21850.4,T
2,10,Directed,134,5.13,21209.51,T
10,4,Directed,206,10.93,20989.15,T
4,3,Directed,148,6.3,20437.5,T
1,3,Directed,117,4.55,19995.75,T
7,2,Directed,177,8.34,19944.96,T
3,1,Directed,136,4.54,19808.66,F
3,2,Directed,137,4.66,19112.5,F
1,4,Directed,118,5.43,19091.45,F
6,3,Directed,168,5.12,17528,F
3,4,Directed,138,5.06,17309.5,F
2,9,Directed,133,3.99,16448.73,F
7,4,Directed,179,6.76,16284.96,F
3,5,Directed,139,4.45,15296,F
2,3,Directed,127,3.64,15002.88,F
7,0,Directed,175,6.25,14400,F
0,3,Directed,107,4.19,14371.79,F
3,6,Directed,140,3.92,13420.8,F
3,0,Directed,135,3.84,13140,F
2,7,Directed,131,5.24,12576,F
0,4,Directed,108,6.31,12081.65,F
9,3,Directed,196,3.39,11671.75,F
3,7,Directed,141,4.85,11640,F
1,9,Directed,123,5.23,11498.79,F
4,2,Directed,147,5.36,11075.4,F
1,10,Directed,124,4.97,10995.77,F
7,1,Directed,176,4.47,10752.8,F
1,7,Directed,121,5,10500,F
4,0,Directed,145,5.47,10457.05,F
4,1,Directed,146,5.66,10415.9,F
4,6,Directed,150,5.38,10050.05,F
9,4,Directed,197,5.19,9948.85,F
5,4,Directed,159,5.13,9819.55,F
4,5,Directed,149,5.39,9785.85,F
7,3,Directed,178,5.74,8214,F
4,8,Directed,152,4.05,7747.2,F
8,4,Directed,189,3.54,6782.7,F
8,2,Directed,187,6.83,6565.76,F
8,1,Directed,186,6.4,6144,F
9,6,Directed,199,11.4,6004.2,F
4,10,Directed,154,4.54,4985.7,F
9,1,Directed,194,6.44,4703.12,F
9,5,Directed,198,5.76,3959.68,F
4,9,Directed,153,4.23,3919.85,F
6,5,Directed,170,7.21,3807.04,F
0,6,Directed,110,7,3699.67,F
3,10,Directed,144,1,3425,F
5,0,Directed,155,5.9,3193.6,F
5,9,Directed,163,5.86,3161.84,F
0,5,Directed,109,5.63,3067.72,F
6,1,Directed,166,5.75,3031.75,F
5,2,Directed,157,5.33,2909.12,F
3,8,Directed,142,2.67,2580,F
6,0,Directed,165,4.58,2428.26,F
10,1,Directed,204,4.02,2216.1,F
5,3,Directed,158,3.62,1967.5,F
6,10,Directed,174,3.43,1838.85,F
5,8,Directed,162,3.19,1748.16,F
2,5,Directed,129,2.97,1611.68,F
7,9,Directed,183,6.35,1536.6,F
0,10,Directed,114,5.42,1493.1,F
4,7,Directed,151,6.15,1458,F
0,7,Directed,111,5.84,1382.4,F
6,7,Directed,171,3.46,1263.2,F
9,7,Directed,200,5.05,1212,F
7,5,Directed,180,4.58,1101.6,F
8,6,Directed,190,2,1054.08,F
7,6,Directed,181,3.76,902.4,F
5,10,Directed,164,2.91,892.64,F
5,7,Directed,161,3.68,875.2,F
7,10,Directed,184,2.5,600,F
7,8,Directed,182,2.17,520.8,F
0,9,Directed,113,6.82,497.86,F
0,8,Directed,112,4.14,394.94,F
10,0,Directed,203,6.08,334.4,F
9,0,Directed,193,4.1,299.3,F
10,8,Directed,209,3.11,298.56,F
8,0,Directed,185,2.74,263.04,F
9,10,Directed,202,2.83,212.39,F
8,10,Directed,192,3.43,188.65,F
10,5,Directed,207,3.09,168.96,F
10,6,Directed,208,3,158.1,F
9,8,Directed,201,2,146,F
8,7,Directed,191,1.5,144,F
6,8,Directed,172,2.48,130.88,F
8,3,Directed,188,1.2,115.2,F
