Net,PC_Mean_GT, PC_Mean_RC,T_Possitive,F_Possitive 
Network1,0.608759913881043,0.6219925826019028,13,0 
Network2,0.6509762497389903,0.663214915595868,5,0 
Network3,0.6851207904586402,0.6666647028858576,14,0 
Network4,0.709455989431461,0.6997375104820321,6,0 
Network5,0.7383849590399109,0.7643597577506668,9,0 
Network6,0.7658476026776988,0.76440293472761,8,0 
Network7,0.7894383639199677,0.7962618010872666,12,0 
Network8,0.811776556877509,0.8211330933278096,12,0 
Network9,0.8331847723435295,0.833458524966447,14,1 
Network10,0.8495589045462085,0.8332430222790679,13,3 
Network11,0.8562107924430691,0.8428472413181874,10,19 
