networks,GT, overlapping, Louvain, Infomap, Greedy, Lpa
network1,93.65201775485043, 74,96.21960105511225,96.41910531724875,91.1569829917588,93.65201775485043
network2,93.94750625959954, 66,96.2882984622103,96.28393732317267,91.96771370563668,93.94750625959954
network3,92.5937519391692, 73,96.51043284973264,96.6084275436785,90.81580043495705,92.5937519391692
network4,94.65559146636834, 74,96.51032420816443,96.51032420816443,88.50943643330511,94.65559146636834
network5,93.3876426336958, 75,96.71794871794741,96.71794871794741,89.95957535801944,93.3876426336958
network6,93.79927449637111, 72,95.73535175386858,96.50777320530244,89.07732240497707,93.79927449637111
network7,93.30390544221726, 78,95.55985824375297,96.23193925400324,88.21194774933885,93.30390544221726
network8,89.95344755563326, 69,96.39487319334478,96.20398145623004,90.5656708684754,89.95344755563326
network9,89.67753787494303, 60,95.707821350415,95.72906121850667,83.01725457646181,89.67753787494303
network10,96.48936170212667, 58,92.32528995102406,94.54636534900575,59.57320920850229,96.48936170212667
network11,96.08062709966316, 51,86.72082336944969,86.60320965835513,57.626741312898474,96.08062709966316
