Net,PC_Mean_GT, PC_Mean_GT,T_Possitive,F_Possitive 
Network1,0.8934266819884212,0.9017006944100088,182,0 
Network2,0.9037096966206271,0.8705108747646066,209,37 
Network3,0.9128097730972051,0.8824783392153177,183,39 
Network4,0.9213211942070915,0.8736604869635347,199,72 
Network5,0.9290760008676063,0.9465652204011531,174,73 
Network6,0.9366221620601827,0.9530831623520324,241,76 
Network7,0.9432311140341244,0.9596504332137115,248,101 
Network8,0.9493150540414649,0.959015118196271,254,180 
Network9,0.9546831368988868,0.9867167100427447,238,45 
Network10,0.9590768369365934,0.9867392854749397,235,98 
Network11,0.9633675197536259,0.9942592913887272,239,133 
