,GT_PC,RC_PC,T_Positive,F_Positive
network1,0.6604814838780072,0.622702813708628,182,0
network2,0.6967573532532849,0.6795506679556922,209,37
network3,0.7291399997097007,0.7107883805005277,183,39
network4,0.7540192105432966,0.7542228881460463,199,72
network5,0.7782510857309304,0.7813517744109669,174,73
network6,0.799595809210147,0.8077929292108437,241,76
network7,0.8237453259925751,0.8200099529420684,248,101
network8,0.8435235219221414,0.8384113022047271,254,180
network9,0.8605794773757215,0.8433117253769066,238,45
network10,0.8757609075433721,0.8647584972632527,235,98
network11,0.8880157542357597,0.8743311815608141,239,133
