network,GT,overlapping,Louvain,Infomap,Greedy,Lpa
network1,92.83748542220147,1255,97.9548809186134,94.39129511767538,92.42280887066876,92.83748542220147
network2,95.53701863818605,1195,97.57473523984771,97.54143707334033,92.81562077644905,95.53701863818605
network3,94.89306046446427,1267,96.97543669220899,96.79146793182926,91.36879947299846,94.89306046446427
network4,95.18298055565043,1534,97.90106179013317,97.65630605626237,87.13870948876378,95.18298055565043
network5,94.18054562785807,1378,97.9307869423631,97.1951935669274,87.92002726059562,94.18054562785807
network6,94.99109953055255,1350,97.71976980427237,97.35024514223451,85.12623449346714,94.99109953055255
network7,93.22341023097323,1293,97.27839594538386,97.0593391165044,83.3544300385005,93.22341023097323
network8,93.83830663483086,1250,97.16031129988095,97.18891330905693,80.38543883926157,93.83830663483086
network9,91.67795722591933,1270,96.89635417188192,97.13208299121315,73.52952824382274,91.67795722591933
network10,90.57978791636971,1267,97.03978647937416,97.39802861160564,67.72269317103375,90.57978791636971
network11,83.60838477626535,1156,95.68813564593246,97.23988409353667,58.1564936304818,83.60838477626535


# OJO SOLO LAS DOS PRIMERAS COLUMNAS ESTAN CORRECTAS
