,GT_PC,RC_PC,T_Positive,F_Positive
network1,0.6546491114822023,0.6112757629996225,22,0
network2,0.7012831871352607,0.6758367654685332,20,0
network3,0.7269822847273533,0.6996216378928652,20,0
network4,0.7463820287222389,0.7115438311172037,19,0
network5,0.7749882191438652,0.7794941910263096,17,0
network6,0.7962530001677139,0.7794859743302123,24,0
network7,0.8221836449389978,0.7986922431578797,17,0
network8,0.8367906746686015,0.8124191922571545,23,2
network9,0.8546219213112628,0.848718650481579,32,5
network10,0.8752834990084002,0.8554087210513603,31,9
network11,0.8806399167874804,0.8703787396666279,39,40
