Net,PC_Mean_GT, PC_Mean_RC,T_Possitive,F_Possitive 
Network1,0.6604814838780073,0.673635604584003,514,175 
Network2,0.6967573532532849,0.725920476879509,538,401 
Network3,0.7291399997097007,0.7651840638274641,473,585 
Network4,0.7540192105432966,0.8003784686364066,319,334 
Network5,0.7782510857309303,0.8195036109217336,443,509 
Network6,0.799595809210147,0.8308374711032713,471,581 
Network7,0.8237453259925751,0.8604104090419487,483,435 
Network8,0.8435235219221414,0.8535913409865672,508,374 
Network9,0.8605794773757215,0.870390730986719,534,469 
Network10,0.8757609075433721,0.8838472151512927,541,411 
Network11,0.8880157542357597,0.8828592507481993,632,245 
