Network,Algorithm,Sequence,NMI,Index_Higher,Iterations
network1,RC,0,0.7935732437121682,0,10
network1,louvain,0,0.4810614187781529,9,10
network1,infomap,0,0.8817675802624324,0,10
network1,greedy,0,0.374828116902954,1,10
network1,async_lpa,0,0.8792579831448579,0,10
network1,RC,1,0.7834043846225456,0,10
network1,louvain,1,0.3855802031268959,2,10
network1,infomap,1,0.8817675802624324,1,10
network1,greedy,1,0.26691326172866764,1,10
network1,async_lpa,1,0.8792579831448579,0,10
network1,RC,2,0.7872655600213126,0,10
network1,louvain,2,0.5146212675289107,0,10
network1,infomap,2,0.881459821880374,1,10
network1,greedy,2,0.4144827892677258,1,10
network1,async_lpa,2,0.8792579831448579,0,10
network1,RC,3,0.790399848999057,0,10
network1,louvain,3,0.4443505614519716,9,10
network1,infomap,3,0.881459821880374,2,10
network1,greedy,3,0.47337279797784304,1,10
network1,async_lpa,3,0.8792579831448579,0,10
network1,RC,4,0.7937094826885622,0,10
network1,louvain,4,0.4835766918469353,1,10
network1,infomap,4,0.8817889355847026,0,10
network1,greedy,4,0.4803451782342191,1,10
network1,async_lpa,4,0.8792579831448579,0,10
network1,RC,5,0.7890308045616886,0,10
network1,louvain,5,0.5389674452790328,8,10
network1,infomap,5,0.8817675802624324,0,10
network1,greedy,5,0.26695911434835434,0,10
network1,async_lpa,5,0.8792579831448579,0,10
network1,RC,6,0.7934038175630147,0,10
network1,louvain,6,0.550552368433206,4,10
network1,infomap,6,0.8817459039990746,6,10
network1,greedy,6,0.4802860439712591,0,10
network1,async_lpa,6,0.8792579831448579,0,10
network1,RC,7,0.790926619779063,0,10
network1,louvain,7,0.49707831276452286,8,10
network1,infomap,7,0.8817459039990746,3,10
network1,greedy,7,0.4695900342729864,0,10
network1,async_lpa,7,0.8792579831448579,0,10
network1,RC,8,0.7954157496939332,0,10
network1,louvain,8,0.5427733029174592,7,10
network1,infomap,8,0.8815816770705845,2,10
network1,greedy,8,0.40076088441473884,0,10
network1,async_lpa,8,0.8792579831448579,0,10
network1,RC,9,0.7887038194468542,0,10
network1,louvain,9,0.5352790589049854,0,10
network1,infomap,9,0.8817675802624324,0,10
network1,greedy,9,0.47337279797784304,0,10
network1,async_lpa,9,0.8792579831448579,0,10
network1,RC,10,0.7855773278801106,0,10
network1,louvain,10,0.4861904123487883,4,10
network1,infomap,10,0.8817889355847026,0,10
network1,greedy,10,0.27470969482067104,2,10
network1,async_lpa,10,0.8792579831448579,0,10
network1,RC,11,0.7878125229476782,0,10
network1,louvain,11,0.4498221664773258,3,10
network1,infomap,11,0.8817675802624324,0,10
network1,greedy,11,0.3755581650737642,2,10
network1,async_lpa,11,0.8792579831448579,0,10
network1,RC,12,0.7883820598213557,0,10
network1,louvain,12,0.5438306348249388,7,10
network1,infomap,12,0.8817889355847026,0,10
network1,greedy,12,0.3052711778288974,2,10
network1,async_lpa,12,0.8792579831448579,0,10
network1,RC,13,0.78807470287253,0,10
network1,louvain,13,0.49474688974728503,1,10
network1,infomap,13,0.8817907129774631,3,10
network1,greedy,13,0.4424911547553378,2,10
network1,async_lpa,13,0.8792579831448579,0,10
network1,RC,14,0.7930075466454993,0,10
network1,louvain,14,0.4631459978289145,6,10
network1,infomap,14,0.8817266240647731,1,10
network1,greedy,14,0.39111888379669724,2,10
network1,async_lpa,14,0.8792579831448579,0,10
network1,RC,15,0.790700650669625,0,10
network1,louvain,15,0.39986219826125885,5,10
network1,infomap,15,0.881453347952485,9,10
network1,greedy,15,0.4695400185707838,5,10
network1,async_lpa,15,0.8792579831448579,0,10
network1,RC,16,0.7907062826839921,0,10
network1,louvain,16,0.5764489254876624,3,10
network1,infomap,16,0.8817266240647731,1,10
network1,greedy,16,0.47031927119413197,5,10
network1,async_lpa,16,0.8792579831448579,0,10
network1,RC,17,0.7893382628201735,0,10
network1,louvain,17,0.40668977849548765,6,10
network1,infomap,17,0.8817675802624324,0,10
network1,greedy,17,0.39111888379669724,5,10
network1,async_lpa,17,0.8792579831448579,0,10
network1,RC,18,0.7887590374138441,0,10
network1,louvain,18,0.5509889356067794,3,10
network1,infomap,18,0.8815811498107388,5,10
network1,greedy,18,0.2724073833586042,5,10
network1,async_lpa,18,0.8792579831448579,0,10
network1,RC,19,0.7924561570920481,0,10
network1,louvain,19,0.5694642750749822,4,10
network1,infomap,19,0.8817675802624324,0,10
network1,greedy,19,0.3514676861444747,5,10
network1,async_lpa,19,0.8792579831448579,0,10
network1,RC,0,0.7916789369945497,0,50
network1,louvain,0,0.5691677398907782,20,50
network1,infomap,0,0.8816641026209735,26,50
network1,greedy,0,0.374828116902954,1,50
network1,async_lpa,0,0.8792579831448579,0,50
network1,RC,1,0.7910977704661375,0,50
network1,louvain,1,0.4859481653576273,18,50
network1,infomap,1,0.8815699640124054,15,50
network1,greedy,1,0.26691326172866764,1,50
network1,async_lpa,1,0.8792579831448579,0,50
network1,RC,2,0.7941551201374542,0,50
network1,louvain,2,0.5066199634347995,28,50
network1,infomap,2,0.8815364413351489,24,50
network1,greedy,2,0.4144827892677258,1,50
network1,async_lpa,2,0.8792579831448579,0,50
network1,RC,3,0.7930156324663252,0,50
network1,louvain,3,0.3907086159898685,24,50
network1,infomap,3,0.8816082909303418,25,50
network1,greedy,3,0.47337279797784304,1,50
network1,async_lpa,3,0.8792579831448579,0,50
network1,RC,4,0.7892220503042515,0,50
network1,louvain,4,0.4797966305341057,25,50
network1,infomap,4,0.8816082909303418,25,50
network1,greedy,4,0.4803451782342191,1,50
network1,async_lpa,4,0.8792579831448579,0,50
network1,RC,5,0.7930277171552339,0,50
network1,louvain,5,0.5558937568492139,39,50
network1,infomap,5,0.8816294857113872,27,50
network1,greedy,5,0.26695911434835434,0,50
network1,async_lpa,5,0.8792579831448579,0,50
network1,RC,6,0.7957823168931423,0,50
network1,louvain,6,0.5696114986618769,24,50
