Network,Algorithm,Iterations,Sequence,NMI,Index_Higher
network1,RC,10,9.5,0.7900323940967529,0.0
network1,RC,50,9.5,0.7925722588721413,0.0
network1,RC,100,9.5,0.8055411196007031,0.0
network1,async_lpa,10,9.5,0.8792579831448579,0.0
network1,async_lpa,50,9.5,0.8792579831448579,0.0
network1,async_lpa,100,9.5,0.8777772836121429,61.0
network1,greedy,10,9.5,0.3922456669218325,2.0
network1,greedy,50,9.5,0.3922456669218325,2.0
network1,greedy,100,9.5,0.3922456669218325,2.0
network1,infomap,10,9.5,0.8817005728145425,1.7
network1,infomap,50,9.5,0.8816142217593317,25.25
network1,infomap,100,9.5,0.8815723678442083,71.85
network1,louvain,10,9.5,0.49575154225927476,4.5
network1,louvain,50,9.5,0.5151219615572511,23.25
network1,louvain,100,9.5,0.4923299541685446,57.25
network10,RC,10,9.5,0.8361000714752459,0.0
network10,RC,50,9.5,0.8344205515831101,0.0
network10,RC,100,9.5,0.8523120507298062,0.0
network10,async_lpa,10,9.5,0.8084168573949457,0.0
network10,async_lpa,50,9.5,0.8084168573949457,0.0
network10,async_lpa,100,9.5,0.8121119736749078,61.0
network10,greedy,10,9.5,0.06030971158901257,2.0
network10,greedy,50,9.5,0.06030971158901257,2.0
network10,greedy,100,9.5,0.06030971158901257,2.0
network10,infomap,10,9.5,0.8700960591752018,1.7
network10,infomap,50,9.5,0.8701435194582654,25.25
network10,infomap,100,9.5,0.8705207676596475,71.85
network10,louvain,10,9.5,0.6073554381659577,4.5
network10,louvain,50,9.5,0.6190100415939089,23.25
network10,louvain,100,9.5,0.604851413685397,57.25
network11,RC,10,9.5,0.8611648924210943,0.0
network11,RC,50,9.5,0.8630537684108207,0.0
network11,RC,100,9.5,0.8657660732184216,0.0
network11,async_lpa,10,9.5,0.70721833989503,0.0
network11,async_lpa,50,9.5,0.70721833989503,0.0
network11,async_lpa,100,9.5,0.6874436905182074,61.0
network11,greedy,10,9.5,0.028522547130475955,2.0
network11,greedy,50,9.5,0.028522547130475955,2.0
network11,greedy,100,9.5,0.028522547130475955,2.0
