measures,degree,in_degree,out_degree,weight,in_weight,out_weight,eigenvector_centrality,eigenvector_centrality_weighted,pagerank,degree_centrality,core_number,closeness_centrality,clustering_coefficient,vertex_betweenes
count,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0,19902.0
mean,360.3991558637323,180.19957793186612,180.19957793186612,2809.026027534921,1404.5130137674605,1404.5130137674605,0.0031814377357552,0.0007041245658,5.024620641141132e-05,0.0181096003147445,193.11868153954376,0.3679238873989962,0.0008103104353812,8.736668941976667e-05
std,360.241505339165,244.9406933995941,190.01925900245573,5196.274628674672,3923.0675029930367,2329.3968626099286,0.006334562065226,0.0070535746187649,0.0001026215444664,0.0181016785759089,105.19767779378758,0.0316092723590691,0.0013531689741482,0.0003969540494055
min,2.0,1.0,1.0,2.0,1.0,1.0,4.0994569731529815e-09,5.2942868643625984e-14,7.541194024499588e-06,0.000100497462439,2.0,0.2053131125554524,0.0,0.0
25%,132.0,55.0,48.0,588.0,206.0,221.0,0.0003110352190157,4.900033062770372e-07,1.4622385481052786e-05,0.0066328325209788,106.0,0.3500446328656829,0.0002789443143791,5.621530642635366e-06
50%,269.0,116.0,125.0,1365.5,535.0,626.5,0.0009446948637593,4.48016456401663e-06,2.5138860530011373e-05,0.0135169086980553,183.0,0.3660122307259373,0.0004623452824875,1.565336212988987e-05
75%,460.0,219.0,249.0,3049.0,1296.0,1639.0,0.003689611257426,2.4511928462038036e-05,4.6163166510780606e-05,0.0231144163609868,296.0,0.3865078633191873,0.0008146627996289,4.377309792087308e-05
max,4039.0,3226.0,1988.0,110584.0,110530.0,39673.0,0.0863446366062933,0.218680406890778,0.0030528112961362,0.2029546253957087,352.0,0.5232698779974758,0.0162061054075183,0.0126369465632756
median,269.0,116.0,125.0,1365.5,535.0,626.5,0.0009446948637593,4.48016456401663e-06,2.5138860530011373e-05,0.0135169086980553,183.0,0.3660122307259373,0.0004623452824875,1.565336212988987e-05
mode,95.0,47.0,28.0,71.0,44.0,3.0,3.0219281387166403e-06,7.191601191322855e-08,1.2797721001625152e-05,0.0047736294658559,352.0,0.3547162412662198,0.0,0.0
variance,129773.94216902762,59995.94328307395,36107.31879184236,27001270.016608097,15390458.63304002,5426089.743536979,4.012667655820103e-05,4.975291490248446e-05,1.0531181388670938e-08,0.0003276707672655,11066.551413205549,0.0009991460990698,1.831066272597436e-06,1.5757251733944213e-07
skewness,3.3509807412377444,5.176006892393611,2.3532173051626915,7.139307140536235,11.054705960684627,4.351290482063985,5.960184824639128,18.02401092704252,9.524410114176826,3.3509807412377444,0.2331883929097589,0.0717506851834536,5.36808648003688,13.051143375412384
kurtosis,18.48501579233727,38.067479783714944,8.329134013904111,82.88512010608784,182.51954393491815,26.71095198424301,49.70217995322491,394.3818233862581,145.88556727264353,18.485015792337265,-1.1885275560561142,1.4524845616175894,33.27877874234598,240.67967764056976
shapiro_w,0.7220461368560791,0.5535835027694702,0.7798010110855103,0.446094274520874,0.2831341624259949,0.5540378093719482,0.47085273265838623,0.07244092226028442,0.34096425771713257,0.7220461368560791,0.9226946234703064,0.9840209484100342,0.41185712814331055,0.179520845413208
shapiro_w_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.677714286035673e-42,0.0,0.0
